Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
61,Kentucky,Private,"1,870","1,425,561","124,400","145,902",8.7,10.2
61,Kentucky,Public,387,"290,340","64,326","72,860",22.2,25.1
61,Kentucky,Priv. Construction,93,"67,358","11,664","12,896",17.3,19.1
61,Kentucky,Priv. Manufacturing,326,"244,160","36,880","41,065",15.1,16.8
72,Louisiana,Total,"2,022","1,834,986","95,860","117,718",5.2,6.4
72,Louisiana,Private,"1,689","1,549,207","59,532","72,746",3.8,4.7
72,Louisiana,Public,333,"285,779","36,328","44,973",12.7,15.7
72,Louisiana,Priv. Construction,177,"163,200","9,820","10,435",6,6.4
72,Louisiana,Priv. Manufacturing,151,"141,107","19,999","20,483",14.2,14.5
11,Maine,Total,"2,460","566,576","62,248","71,009",11,12.5
11,Maine,Private,"2,070","480,019","21,309","24,187",4.4,5
11,Maine,Public,390,"86,556","40,939","46,822",47.3,54.1
11,Maine,Priv. Construction,100,"24,256","1,253","1,253",5.2,5.2
11,Maine,Priv. Manufacturing,239,"54,783","6,869","7,588",12.5,13.9
52,Maryland,Total,"3,738","2,616,166","310,622","347,377",11.9,13.3
52,Maryland,Private,"2,833","1,987,077","102,821","119,413",5.2,6
52,Maryland,Public,905,"629,089","207,801","227,964",33,36.2
52,Maryland,Priv. Construction,214,"147,335","14,644","17,474",9.9,11.9
52,Maryland,Priv. Manufacturing,178,"120,744","10,455","11,270",8.7,9.3
14,Massachusetts,Total,"2,774","3,038,550","414,768","444,185",13.7,14.6
14,Massachusetts,Private,"2,350","2,582,305","147,837","163,659",5.7,6.3
14,Massachusetts,Public,424,"456,245","266,931","280,526",58.5,61.5
14,Massachusetts,Priv. Construction,117,"136,034","22,257","22,257",16.4,16.4
14,Massachusetts,Priv. Manufacturing,249,"261,443","13,608","13,608",5.2,5.2
34,Michigan,Total,"3,744","4,025,826","584,593","629,478",14.5,15.6
34,Michigan,Private,"3,308","3,568,369","353,746","385,765",9.9,10.8
34,Michigan,Public,436,"457,456","230,847","243,713",50.5,53.3
34,Michigan,Priv. Construction,136,"143,463","30,777","30,777",21.5,21.5
34,Michigan,Priv. Manufacturing,753,"800,998","126,186","131,375",15.8,16.4
41,Minnesota,Total,"4,041","2,541,120","360,297","379,853",14.2,14.9
41,Minnesota,Private,"3,491","2,199,803","176,868","188,469",8,8.6
41,Minnesota,Public,550,"341,317","183,430","191,384",53.7,56.1
41,Minnesota,Priv. Construction,202,"126,328","40,482","40,990",32,32.4
41,Minnesota,Priv. Manufacturing,605,"376,047","26,839","28,820",7.1,7.7
64,Mississippi,Total,"1,654","1,026,431","38,007","46,085",3.7,4.5
64,Mississippi,Private,"1,333","829,742","32,663","37,691",3.9,4.5
64,Mississippi,Public,321,"196,689","5,344","8,393",2.7,4.3
64,Mississippi,Priv. Construction,83,"52,699","4,594","4,594",8.7,8.7
64,Mississippi,Priv. Manufacturing,243,"159,641","18,443","19,725",11.6,12.4
43,Missouri,Total,"2,636","2,556,641","213,108","248,271",8.3,9.7
43,Missouri,Private,"2,231","2,173,838","140,334","159,559",6.5,7.3
43,Missouri,Public,405,"382,803","72,774","88,711",19,23.2
43,Missouri,Priv. Construction,126,"125,464","36,041","38,039",28.7,30.3
43,Missouri,Priv. Manufacturing,312,"296,253","30,676","36,147",10.4,12.2
81,Montana,Total,"1,929","414,039","52,587","57,071",12.7,13.8
81,Montana,Private,"1,534","331,878","18,799","21,670",5.7,6.5
81,Montana,Public,395,"82,161","33,788","35,401",41.1,43.1
81,Montana,Priv. Construction,112,"25,004","1,807","2,296",7.2,9.2
81,Montana,Priv. Manufacturing,92,"18,829",570,570,3,3
46,Nebraska,Total,"2,661","877,511","63,818","78,684",7.3,9
46,Nebraska,Private,"2,221","734,492","27,741","34,343",3.8,4.7
46,Nebraska,Public,440,"143,018","36,077","44,341",25.2,31
46,Nebraska,Priv. Construction,130,"44,557","2,301","2,301",5.2,5.2
46,Nebraska,Priv. Manufacturing,342,"111,741","6,925","8,583",6.2,7.7
88,Nevada,Total,"2,335","1,174,334","169,261","192,572",14.4,16.4
88,Nevada,Private,"2,007","1,014,776","120,724","132,201",11.9,13
88,Nevada,Public,328,"159,558","48,537","60,370",30.4,37.8
88,Nevada,Priv. Construction,137,"72,921","8,758","8,758",12,12
88,Nevada,Priv. Manufacturing,104,"51,309","3,949","3,949",7.7,7.7
12,New Hampshire,Total,"3,500","626,716","62,144","71,791",9.9,11.5
12,New Hampshire,Private,"2,985","537,312","19,194","23,724",3.6,4.4
12,New Hampshire,Public,515,"89,403","42,949","48,067",48,53.8
12,New Hampshire,Priv. Construction,168,"30,042","2,362","2,786",7.9,9.3
12,New Hampshire,Priv. Manufacturing,470,"82,337","1,689","2,002",2.1,2.4
22,New Jersey,Total,"3,529","3,860,034","637,159","665,488",16.5,17.2
22,New Jersey,Private,"3,015","3,306,249","293,106","308,690",8.9,9.3
22,New Jersey,Public,514,"553,785","344,053","356,798",62.1,64.4
22,New Jersey,Priv. Construction,184,"203,621","45,600","45,600",22.4,22.4
22,New Jersey,Priv. Manufacturing,288,"309,288","20,952","23,007",6.8,7.4
85,New Mexico,Total,"1,553","763,932","43,529","56,515",5.7,7.4
85,New Mexico,Private,"1,105","538,604","18,173","20,546",3.4,3.8
85,New Mexico,Public,448,"225,328","25,355","35,969",11.3,16
85,New Mexico,Priv. Construction,80,"38,977","2,403","2,403",6.2,6.2
85,New Mexico,Priv. Manufacturing,69,"34,271",0,0,0,0
21,New York,Total,"6,895","8,061,384","1,980,075","2,080,604",24.6,25.8
21,New York,Private,"5,707","6,708,056","1,001,861","1,079,329",14.9,16.1
21,New York,Public,"1,188","1,353,328","978,214","1,001,275",72.3,74
21,New York,Priv. Construction,336,"396,425","123,902","127,671",31.3,32.2
21,New York,Priv. Manufacturing,498,"572,060","93,819","99,074",16.4,17.3
56,North Carolina,Total,"3,298","3,934,866","76,293","125,741",1.9,3.2
56,North Carolina,Private,"2,753","3,286,211","40,123","54,381",1.2,1.7
56,North Carolina,Public,545,"648,654","36,170","71,360",5.6,11
56,North Carolina,Priv. Construction,200,"239,267",0,"3,639",0,1.5
56,North Carolina,Priv. Manufacturing,455,"538,709","13,570","17,203",2.5,3.2
44,North Dakota,Total,"2,581","352,887","17,705","24,417",5,6.9
44,North Dakota,Private,"2,118","290,774","9,521","12,073",3.3,4.2
44,North Dakota,Public,463,"62,114","8,184","12,344",13.2,19.9
44,North Dakota,Priv. Construction,151,"20,563","2,131","2,268",10.4,11
44,North Dakota,Priv. Manufacturing,174,"23,730","2,207","2,477",9.3,10.4
31,Ohio,Total,"4,585","4,958,143","614,606","688,090",12.4,13.9
31,Ohio,Private,"4,011","4,348,836","322,972","369,342",7.4,8.5
31,Ohio,Public,574,"609,306","291,634","318,748",47.9,52.3
31,Ohio,Priv. Construction,192,"203,813","43,429","44,191",21.3,21.7
31,Ohio,Priv. Manufacturing,770,"816,298","112,489","118,050",13.8,14.5
73,Oklahoma,Total,"1,940","1,465,583","88,176","105,610",6,7.2
73,Oklahoma,Private,"1,566","1,190,464","31,744","37,558",2.7,3.2
73,Oklahoma,Public,374,"275,119","56,432","68,052",20.5,24.7
73,Oklahoma,Priv. Construction,89,"69,982","4,748","5,794",6.8,8.3
73,Oklahoma,Priv. Manufacturing,198,"152,133","8,873","8,873",5.8,5.8
92,Oregon,Total,"2,280","1,554,745","243,177","263,726",15.6,17
92,Oregon,Private,"1,903","1,301,866","106,323","118,650",8.2,9.1
92,Oregon,Public,377,"252,879","136,855","145,076",54.1,57.4
92,Oregon,Priv. Construction,102,"69,294","13,416","13,416",19.4,19.4
92,Oregon,Priv. Manufacturing,303,"207,287","14,219","17,604",6.9,8.5
23,Pennsylvania,Total,"5,082","5,525,449","701,918","753,232",12.7,13.6
23,Pennsylvania,Private,"4,513","4,912,439","378,982","410,318",7.7,8.4
23,Pennsylvania,Public,569,"613,010","322,936","342,914",52.7,55.9
23,Pennsylvania,Priv. Construction,228,"242,735","46,571","49,956",19.2,20.6
23,Pennsylvania,Priv. Manufacturing,688,"741,995","94,198","98,489",12.7,13.3
15,Rhode Island,Total,"2,499","453,051","68,275","71,505",15.1,15.8
15,Rhode Island,Private,"2,129","389,817","25,981","28,481",6.7,7.3
15,Rhode Island,Public,370,"63,234","42,294","43,025",66.9,68
15,Rhode Island,Priv. Construction,97,"17,711","3,998","3,998",22.6,22.6
15,Rhode Island,Priv. Manufacturing,299,"52,858","1,682","2,077",3.2,3.9
57,South Carolina,Total,"2,048","1,884,035","40,294","60,599",2.1,3.2
57,South Carolina,Private,"1,756","1,618,283","31,264","43,803",1.9,2.7
57,South Carolina,Public,292,"265,752","9,030","16,796",3.4,6.3
57,South Carolina,Priv. Construction,96,"89,629","2,482","6,180",2.8,6.9
57,South Carolina,Priv. Manufacturing,324,"302,074","10,606","13,092",3.5,4.3
45,South Dakota,Total,"2,590","363,697","17,680","22,199",4.9,6.1
45,South Dakota,Private,"2,135","300,850","7,612","8,713",2.5,2.9
45,South Dakota,Public,455,"62,847","10,069","13,486",16,21.5
45,South Dakota,Priv. Construction,130,"20,081",849,"1,019",4.2,5.1
45,South Dakota,Priv. Manufacturing,310,"40,888","2,873","2,873",7,7
62,Tennessee,Total,"2,322","2,515,025","127,222","141,105",5.1,5.6
62,Tennessee,Private,"1,962","2,134,703","57,123","60,444",2.7,2.8
62,Tennessee,Public,360,"380,322","70,099","80,662",18.4,21.2
62,Tennessee,Priv. Construction,122,"133,189","11,651","12,950",8.7,9.7
62,Tennessee,Priv. Manufacturing,292,"318,635","17,141","18,225",5.4,5.7
74,Texas,Total,"9,194","11,212,169","543,434","699,705",4.8,6.2
74,Texas,Private,"7,825","9,584,046","267,541","364,465",2.8,3.8
74,Texas,Public,"1,369","1,628,122","275,893","335,240",16.9,20.6
74,Texas,Priv. Construction,649,"824,578","22,689","23,753",2.8,2.9
74,Texas,Priv. Manufacturing,889,"1,105,088","62,146","75,159",5.6,6.8
87,Utah,Total,"2,260","1,236,210","45,754","56,327",3.7,4.6
87,Utah,Private,"1,867","1,021,097","20,966","25,314",2.1,2.5
87,Utah,Public,393,"215,113","24,788","31,013",11.5,14.4
87,Utah,Priv. Construction,163,"95,950","2,033","2,520",2.1,2.6
87,Utah,Priv. Manufacturing,244,"134,557","2,604","3,016",1.9,2.2
13,Vermont,Total,"2,410","286,205","31,736","37,502",11.1,13.1
13,Vermont,Private,"1,996","238,596","10,032","12,152",4.2,5.1
13,Vermont,Public,414,"47,609","21,704","25,351",45.6,53.2
13,Vermont,Priv. Construction,135,"16,119",822,925,5.1,5.7
13,Vermont,Priv. Manufacturing,297,"35,560","1,361","1,757",3.8,4.9
54,Virginia,Total,"3,751","3,664,514","178,695","228,478",4.9,6.2
54,Virginia,Private,"2,893","2,846,359","76,417","98,107",2.7,3.4
54,Virginia,Public,858,"818,155","102,278","130,371",12.5,15.9
54,Virginia,Priv. Construction,223,"219,475","8,235","10,851",3.8,4.9
54,Virginia,Priv. Manufacturing,248,"240,125","17,165","21,858",7.1,9.1
91,Washington,Total,"2,951","2,913,278","490,112","535,408",16.8,18.4
91,Washington,Private,"2,475","2,457,242","268,723","291,023",10.9,11.8
91,Washington,Public,476,"456,036","221,389","244,385",48.5,53.6
91,Washington,Priv. Construction,154,"156,278","43,124","45,299",27.6,29
91,Washington,Priv. Manufacturing,346,"349,537","67,114","71,062",19.2,20.3
55,West Virginia,Total,"2,029","687,671","72,747","79,818",10.6,11.6
55,West Virginia,Private,"1,588","541,140","42,293","42,912",7.8,7.9
55,West Virginia,Public,441,"146,531","30,454","36,906",20.8,25.2
55,West Virginia,Priv. Construction,106,"36,262","10,426","10,426",28.8,28.8
55,West Virginia,Priv. Manufacturing,168,"50,339","11,141","11,141",22.1,22.1
35,Wisconsin,Total,"3,357","2,625,922","305,611","326,983",11.6,12.5
35,Wisconsin,Private,"2,839","2,227,589","182,373","192,452",8.2,8.6
35,Wisconsin,Public,518,"398,333","123,239","134,530",30.9,33.8
35,Wisconsin,Priv. Construction,150,"116,485","29,579","30,774",25.4,26.4
35,Wisconsin,Priv. Manufacturing,679,"520,322","88,072","88,072",16.9,16.9
83,Wyoming,Total,"2,292","254,991","17,073","19,046",6.7,7.5
83,Wyoming,Private,"1,764","196,633","10,358","11,082",5.3,5.6
83,Wyoming,Public,528,"58,358","6,715","7,964",11.5,13.6
83,Wyoming,Priv. Construction,131,"14,589",901,901,6.2,6.2
83,Wyoming,Priv. Manufacturing,83,"8,839",720,777,8.1,8.8
,,,,,,,,
,,,,,,,,
,,,,,,,,
