State Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
23,Pennsylvania,Public,510,"596,849","297,414","330,351",49.8,55.3
23,Pennsylvania,Priv. Construction,255,"308,584","67,075","69,260",21.7,22.4
23,Pennsylvania,Priv. Manufacturing,567,"661,109","81,376","83,754",12.3,12.7
15,Rhode Island,Total,"1,594","485,379","78,224","83,460",16.1,17.2
15,Rhode Island,Private,"1,359","416,309","34,103","37,765",8.2,9.1
15,Rhode Island,Public,235,"69,070","44,121","45,695",63.9,66.2
15,Rhode Island,Priv. Construction,60,"18,087","3,791","4,053",21,22.4
15,Rhode Island,Priv. Manufacturing,203,"61,170","2,784","3,333",4.6,5.4
57,South Carolina,Total,"2,401","1,989,387","52,209","78,524",2.6,3.9
57,South Carolina,Private,"1,963","1,637,784","27,180","37,910",1.7,2.3
57,South Carolina,Public,438,"351,603","25,029","40,615",7.1,11.6
57,South Carolina,Priv. Construction,158,"138,348","3,392","4,031",2.5,2.9
57,South Carolina,Priv. Manufacturing,333,"279,921","5,351","8,352",1.9,3
45,South Dakota,Total,"1,952","379,739","20,243","25,157",5.3,6.6
45,South Dakota,Private,"1,614","314,846","7,998","9,645",2.5,3.1
45,South Dakota,Public,338,"64,894","12,245","15,512",18.9,23.9
45,South Dakota,Priv. Construction,112,"23,518","1,096","1,096",4.7,4.7
45,South Dakota,Priv. Manufacturing,251,"47,994","2,130","2,295",4.4,4.8
62,Tennessee,Total,"2,971","2,725,434","154,377","174,916",5.7,6.4
62,Tennessee,Private,"2,546","2,351,550","81,933","94,055",3.5,4
62,Tennessee,Public,425,"373,884","72,444","80,861",19.4,21.6
62,Tennessee,Priv. Construction,178,"162,850","11,124","11,941",6.8,7.3
62,Tennessee,Priv. Manufacturing,411,"373,056","28,729","30,402",7.7,8.1
74,Texas,Total,"9,157","11,626,899","542,242","668,070",4.7,5.7
74,Texas,Private,"7,728","9,864,422","261,187","323,949",2.6,3.3
74,Texas,Public,"1,429","1,762,478","281,055","344,121",15.9,19.5
74,Texas,Priv. Construction,691,"908,363","29,029","32,575",3.2,3.6
74,Texas,Priv. Manufacturing,765,"967,196","39,538","42,324",4.1,4.4
87,Utah,Total,"2,633","1,373,911","54,083","74,235",3.9,5.4
87,Utah,Private,"2,197","1,153,929","25,339","37,595",2.2,3.3
87,Utah,Public,436,"219,981","28,744","36,640",13.1,16.7
87,Utah,Priv. Construction,163,"85,900","4,563","4,563",5.3,5.3
87,Utah,Priv. Manufacturing,316,"168,329","3,288","4,435",2,2.6
13,Vermont,Total,"2,222","288,308","31,722","34,786",11,12.1
13,Vermont,Private,"1,863","243,287","10,840","11,506",4.5,4.7
13,Vermont,Public,359,"45,020","20,882","23,280",46.4,51.7
13,Vermont,Priv. Construction,95,"13,349",876,876,6.6,6.6
13,Vermont,Priv. Manufacturing,286,"37,516","1,330","1,330",3.5,3.5
54,Virginia,Total,"3,221","3,806,256","176,653","223,197",4.6,5.9
54,Virginia,Private,"2,531","3,006,510","75,270","90,308",2.5,3
54,Virginia,Public,690,"799,746","101,384","132,890",12.7,16.6
54,Virginia,Priv. Construction,169,"202,553","11,129","13,582",5.5,6.7
54,Virginia,Priv. Manufacturing,235,"280,940","11,179","16,263",4,5.8
91,Washington,Total,"2,949","3,109,830","582,749","628,851",18.7,20.2
91,Washington,Private,"2,457","2,601,116","315,411","337,316",12.1,13
91,Washington,Public,492,"508,714","267,338","291,536",52.6,57.3
91,Washington,Priv. Construction,167,"175,764","35,816","42,065",20.4,23.9
91,Washington,Priv. Manufacturing,315,"332,691","77,225","80,082",23.2,24.1
55,West Virginia,Total,"3,200","683,183","75,154","81,516",11,11.9
55,West Virginia,Private,"2,577","554,082","42,402","45,031",7.7,8.1
55,West Virginia,Public,623,"129,101","32,753","36,485",25.4,28.3
55,West Virginia,Priv. Construction,147,"32,137","6,995","6,995",21.8,21.8
55,West Virginia,Priv. Manufacturing,402,"86,407","11,116","11,688",12.9,13.5
35,Wisconsin,Total,"2,479","2,780,465","230,561","250,358",8.3,9
35,Wisconsin,Private,"2,149","2,423,487","163,231","172,048",6.7,7.1
35,Wisconsin,Public,330,"356,978","67,330","78,310",18.9,21.9
35,Wisconsin,Priv. Construction,98,"111,489","32,145","32,145",28.8,28.8
35,Wisconsin,Priv. Manufacturing,525,"589,639","69,731","74,171",11.8,12.6
83,Wyoming,Total,"2,421","242,840","14,625","16,197",6,6.7
83,Wyoming,Private,"1,810","181,921","8,087","8,541",4.4,4.7
83,Wyoming,Public,611,"60,918","6,538","7,656",10.7,12.6
83,Wyoming,Priv. Construction,135,"14,102",789,789,5.6,5.6
83,Wyoming,Priv. Manufacturing,96,"9,553",459,459,4.8,4.8
